Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Transfer Volume,Offset
source_B_L1,B9,dest_EY_B_P1,G8,500
source_B_L1,A13,dest_EY_B_P1,G9,500
source_B_L1,A3,dest_EY_B_P1,G9,500
source_B_L1,A5,dest_EY_B_P1,G9,500
source_B_L1,A19,dest_EY_B_P1,G9,500
source_B_L1,A9,dest_EY_B_P1,G9,500
source_B_L1,A23,dest_EY_B_P1,G9,500
source_B_L1,B3,dest_EY_B_P1,G9,500
source_B_L1,B7,dest_EY_B_P1,G9,500
source_B_L1,B9,dest_EY_B_P1,G9,500
source_B_L1,A1,dest_EY_B_P1,G10,500
source_B_L1,A15,dest_EY_B_P1,G10,500
source_B_L1,A17,dest_EY_B_P1,G10,500
source_B_L1,A7,dest_EY_B_P1,G10,500
source_B_L1,A9,dest_EY_B_P1,G10,500
source_B_L1,A23,dest_EY_B_P1,G10,500
source_B_L1,B3,dest_EY_B_P1,G10,500
source_B_L1,B7,dest_EY_B_P1,G10,500
source_B_L1,B9,dest_EY_B_P1,G10,500
source_B_L1,A13,dest_EY_B_P1,G11,500
source_B_L1,A3,dest_EY_B_P1,G11,500
source_B_L1,A17,dest_EY_B_P1,G11,500
source_B_L1,A7,dest_EY_B_P1,G11,500
source_B_L1,A9,dest_EY_B_P1,G11,500
source_B_L1,A23,dest_EY_B_P1,G11,500
source_B_L1,B3,dest_EY_B_P1,G11,500
source_B_L1,B7,dest_EY_B_P1,G11,500
source_B_L1,B9,dest_EY_B_P1,G11,500
source_B_L1,A13,dest_EY_B_P1,G12,500
source_B_L1,A15,dest_EY_B_P1,G12,500
source_B_L1,A5,dest_EY_B_P1,G12,500
source_B_L1,A7,dest_EY_B_P1,G12,500
source_B_L1,A9,dest_EY_B_P1,G12,500
source_B_L1,A23,dest_EY_B_P1,G12,500
source_B_L1,B3,dest_EY_B_P1,G12,500
source_B_L1,B7,dest_EY_B_P1,G12,500
source_B_L1,B9,dest_EY_B_P1,G12,500
source_B_L1,A1,dest_EY_B_P1,H1,500
source_B_L1,A3,dest_EY_B_P1,H1,500
source_B_L1,A17,dest_EY_B_P1,H1,500
source_B_L1,A19,dest_EY_B_P1,H1,500
source_B_L1,A21,dest_EY_B_P1,H1,500
source_B_L1,A11,dest_EY_B_P1,H1,500
source_B_L1,B3,dest_EY_B_P1,H1,500
source_B_L1,B7,dest_EY_B_P1,H1,500
source_B_L1,B9,dest_EY_B_P1,H1,500
source_B_L1,A13,dest_EY_B_P1,H2,500
source_B_L1,A3,dest_EY_B_P1,H2,500
source_B_L1,A5,dest_EY_B_P1,H2,500
source_B_L1,A19,dest_EY_B_P1,H2,500
source_B_L1,A21,dest_EY_B_P1,H2,500
source_B_L1,A11,dest_EY_B_P1,H2,500
source_B_L1,B3,dest_EY_B_P1,H2,500
source_B_L1,B7,dest_EY_B_P1,H2,500
source_B_L1,B9,dest_EY_B_P1,H2,500
source_B_L1,A13,dest_EY_B_P1,H3,500
source_B_L1,A3,dest_EY_B_P1,H3,500
source_B_L1,A17,dest_EY_B_P1,H3,500
source_B_L1,A7,dest_EY_B_P1,H3,500
source_B_L1,A21,dest_EY_B_P1,H3,500
source_B_L1,A11,dest_EY_B_P1,H3,500
source_B_L1,B3,dest_EY_B_P1,H3,500
source_B_L1,B7,dest_EY_B_P1,H3,500
source_B_L1,B9,dest_EY_B_P1,H3,500
source_B_L1,A13,dest_EY_B_P1,H4,500
source_B_L1,A3,dest_EY_B_P1,H4,500
source_B_L1,A17,dest_EY_B_P1,H4,500
source_B_L1,A19,dest_EY_B_P1,H4,500
source_B_L1,A9,dest_EY_B_P1,H4,500
source_B_L1,A11,dest_EY_B_P1,H4,500
source_B_L1,B3,dest_EY_B_P1,H4,500
source_B_L1,B7,dest_EY_B_P1,H4,500
source_B_L1,B9,dest_EY_B_P1,H4,500
source_B_L1,A13,dest_EY_B_P1,H5,500
source_B_L1,A3,dest_EY_B_P1,H5,500
source_B_L1,A17,dest_EY_B_P1,H5,500
source_B_L1,A19,dest_EY_B_P1,H5,500
source_B_L1,A21,dest_EY_B_P1,H5,500
source_B_L1,A11,dest_EY_B_P1,H5,500
source_B_L1,B3,dest_EY_B_P1,H5,500
source_B_L1,B7,dest_EY_B_P1,H5,500
source_B_L1,B9,dest_EY_B_P1,H5,500
source_B_L1,A13,dest_EY_B_P1,H6,500
source_B_L1,A15,dest_EY_B_P1,H6,500
source_B_L1,A5,dest_EY_B_P1,H6,500
source_B_L1,A19,dest_EY_B_P1,H6,500
source_B_L1,A21,dest_EY_B_P1,H6,500
source_B_L1,A11,dest_EY_B_P1,H6,500
source_B_L1,B3,dest_EY_B_P1,H6,500
source_B_L1,B7,dest_EY_B_P1,H6,500
source_B_L1,B9,dest_EY_B_P1,H6,500
source_B_L1,A1,dest_EY_B_P1,H7,500
source_B_L1,A15,dest_EY_B_P1,H7,500
source_B_L1,A17,dest_EY_B_P1,H7,500
source_B_L1,A19,dest_EY_B_P1,H7,500
source_B_L1,A21,dest_EY_B_P1,H7,500
source_B_L1,A23,dest_EY_B_P1,H7,500
source_B_L1,B3,dest_EY_B_P1,H7,500
source_B_L1,B7,dest_EY_B_P1,H7,500
source_B_L1,B9,dest_EY_B_P1,H7,500
source_B_L1,A13,dest_EY_B_P1,H8,500
source_B_L1,A3,dest_EY_B_P1,H8,500
source_B_L1,A17,dest_EY_B_P1,H8,500
source_B_L1,A19,dest_EY_B_P1,H8,500
source_B_L1,A21,dest_EY_B_P1,H8,500
source_B_L1,A23,dest_EY_B_P1,H8,500
source_B_L1,B3,dest_EY_B_P1,H8,500
source_B_L1,B7,dest_EY_B_P1,H8,500
source_B_L1,B9,dest_EY_B_P1,H8,500
source_B_L1,A13,dest_EY_B_P1,H9,500
source_B_L1,A15,dest_EY_B_P1,H9,500
source_B_L1,A5,dest_EY_B_P1,H9,500
source_B_L1,A19,dest_EY_B_P1,H9,500
source_B_L1,A21,dest_EY_B_P1,H9,500
source_B_L1,A23,dest_EY_B_P1,H9,500
source_B_L1,B3,dest_EY_B_P1,H9,500
source_B_L1,B7,dest_EY_B_P1,H9,500
source_B_L1,B9,dest_EY_B_P1,H9,500
source_B_L1,A13,dest_EY_B_P1,H10,500
source_B_L1,A15,dest_EY_B_P1,H10,500
source_B_L1,A17,dest_EY_B_P1,H10,500
source_B_L1,A7,dest_EY_B_P1,H10,500
source_B_L1,A21,dest_EY_B_P1,H10,500
source_B_L1,A23,dest_EY_B_P1,H10,500
source_B_L1,B3,dest_EY_B_P1,H10,500
source_B_L1,B7,dest_EY_B_P1,H10,500
source_B_L1,B9,dest_EY_B_P1,H10,500
source_B_L1,A13,dest_EY_B_P1,H11,500
source_B_L1,A15,dest_EY_B_P1,H11,500
source_B_L1,A17,dest_EY_B_P1,H11,500
source_B_L1,A19,dest_EY_B_P1,H11,500
source_B_L1,A9,dest_EY_B_P1,H11,500
source_B_L1,A23,dest_EY_B_P1,H11,500
source_B_L1,B3,dest_EY_B_P1,H11,500
source_B_L1,B7,dest_EY_B_P1,H11,500
source_B_L1,B9,dest_EY_B_P1,H11,500
source_B_L1,A13,dest_EY_B_P1,H12,500
source_B_L1,A15,dest_EY_B_P1,H12,500
source_B_L1,A17,dest_EY_B_P1,H12,500
source_B_L1,A19,dest_EY_B_P1,H12,500
source_B_L1,A21,dest_EY_B_P1,H12,500
source_B_L1,A23,dest_EY_B_P1,H12,500
source_B_L1,B3,dest_EY_B_P1,H12,500
source_B_L1,B7,dest_EY_B_P1,H12,500
source_B_L1,B9,dest_EY_B_P1,H12,500
Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Transfer Volume,Offset
source_B_L1,A1,dest_EY_B_P1,F5,500
source_B_L1,A3,dest_EY_B_P1,F5,500
source_B_L1,A5,dest_EY_B_P1,F5,500
source_B_L1,A7,dest_EY_B_P1,F5,500
source_B_L1,A9,dest_EY_B_P1,F5,500
source_B_L1,A23,dest_EY_B_P1,F5,500
source_B_L1,B3,dest_EY_B_P1,F5,500
